SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542837,NIESSPE     ,B ,Q,3.5,4.1,3.43,3.43,3.43,3.81,19,4271,14753,
542839,NIEHSPD     ,B ,Q,0.72,0.82,0.72,0.79,0.79,0.79,14,7158,5175,
542841,NIEHSPE     ,B ,Q,0.87,0.87,0.87,0.87,0.87,0.95,1,750,652,
542843,NIEHSPG     ,B ,Q,3.99,3.99,3.46,3.46,3.46,3.84,4,42,156,
542844,NIEHSPH     ,B ,Q,1.44,1.44,1.27,1.29,1.35,1.34,8,2471,3336,
542846,NIEHSPL     ,B ,Q,0.85,0.93,0.77,0.93,0.93,0.85,8,6875,5809,
542847,NIESSPL     ,B ,Q,0.78,0.78,0.65,0.76,0.76,0.72,21,10951,7575,
542848,NIESSPM     ,B ,Q,1.65,1.65,1.38,1.63,1.63,1.52,13,5219,7323,
542850,GOBLIN      ,M ,Q,64.1,67.95,64,65,65,70,6,14000,908320,
542851,GENSOL      ,M ,Q,983.9,990,972,976.45,976.45,983.75,76,6840,6704955,
542852,VISHWARAJ   ,B ,Q,15.5,15.64,15.3,15.39,15.39,15.55,385,80082,1232342,
542857,GREENPANEL  ,A ,Q,340,340,330.15,332,332.7,332.1,679,32288,10749162,
542862,SHAHLON     ,X ,Q,13.45,13.99,12.7,12.88,12.7,13.19,63,6157,80460,
542863,ABSLBANETF  ,B ,Q,44.65,44.65,43.19,44.09,44.09,43.51,61,1003,44097,
542865,ANUROOP     ,B ,Q,31.3,31.3,30.1,31.3,31.3,30.47,4,29,906,
542866,COLABCLOUD  ,XT,Q,57.2,57.2,55.52,56,56,57.2,3,201,11328,
542867,CSBBANK     ,A ,Q,290,295.7,287.45,290.6,290.35,290.9,589,12633,3691239,
542904,UJJIVANSFB  ,A ,Q,31.06,33.29,31,32.99,32.99,30.66,10171,6653621,217126270,
542905,HINDWAREAP  ,B ,Q,365.7,384.1,364.85,381,381.2,370.9,1070,26193,9850380,
542907,PRINCEPIPE  ,A ,Q,590.25,606.95,590.25,599.95,596.25,600.75,1661,13528,8114555,
542909,EBBETF0430  ,F ,Q,1283,1283.93,1282.12,1283.72,1283.93,1278,4,27,34659,
542918,GIANLIFE    ,B ,Q,23.85,24.75,23.31,23.55,23.97,24.24,104,16403,390754,
542919,ARTEMISMED  ,B ,Q,81.66,87.24,81.66,85.39,85.4,83.32,708,69809,5961557,
542920,SUMICHEM    ,A ,Q,394.3,398.35,389.15,390.55,390.55,395.25,2433,38893,15269803,
542921,ICICIM150   ,B ,Q,123.99,125,123.36,124.52,124.52,123.99,29,1524,188906,
542922,MANXT50ETF  ,B ,Q,423.32,423.32,413,415.07,415.07,413,31,89,37281,
542924,JANUSCORP   ,M ,Q,3.53,3.54,3.53,3.53,3.53,3.52,5,17500,61810,
542932,BIRLATYRES  ,T ,Q,4.56,4.68,4.41,4.5,4.52,4.56,198,44206,198320,
542933,UNIVPHOTO   ,B ,Q,381.15,399.9,381.15,398,399.9,406.9,98,958,375609,
542934,CBPL        ,M ,Q,141,141,141,141,141,131,1,1000,141000,
542935,ICLORGANIC  ,M ,Q,53.5,53.76,53.2,53.2,53.2,51.2,15,38000,2034600,
543064,SUVENPHAR   ,A ,Q,480.95,480.95,470.85,473.4,472.45,472.9,152,2595,1229420,
543066,SBICARD     ,A ,Q,867,896.2,861.65,891.25,891.25,866.65,3893,90688,80539382,
543071,07AGG       ,F ,Q,4.42,4.42,4.42,4.42,4.42,4.02,1,1,4,
543079,07GPG       ,F ,Q,1.18,1.18,1.18,1.18,1.18,1.18,1,1,1,
543092,09GPG       ,F ,Q,2.66,2.66,2.64,2.64,2.64,2.42,2,26,68,
543144,08MPD       ,B ,Q,2.18,2.18,1.9,2.01,2.01,2.05,12,1276,2535,
543150,08GPG       ,B ,Q,1,1.04,0.87,1.02,1.02,0.96,30,21138,20715,
543161,10AGG       ,F ,Q,2.75,2.75,2.7,2.7,2.7,2.7,2,271,745,
543165,10ARD       ,F ,Q,49.5,49.5,49.5,49.5,49.5,45,1,1,49,
543167,10GPG       ,F ,Q,0.78,0.84,0.78,0.84,0.84,0.85,2,1250,990,
543171,ROJL        ,T ,Q,4.6,4.6,4.6,4.6,4.6,4.84,5,2200,10120,
543173,11DPR       ,B ,Q,6.6,6.8,6.1,6.5,6.5,6.77,10,561,3576,
543174,11GPG       ,B ,Q,1,1.08,1,1,1.04,1.09,16,9408,9472,
543175,11MPD       ,B ,Q,1.48,1.48,1.27,1.4,1.4,1.38,5,1731,2198,
543176,11MPR       ,B ,Q,10.68,10.68,8.74,8.74,8.74,9.71,7,239,2283,
543177,11QPD       ,B ,Q,3.57,3.57,3.22,3.22,3.22,3.57,15,2283,7361,
543181,11AGG       ,B ,Q,8.9,8.9,7.38,7.39,8.71,8.11,10,1306,10830,
543182,11AMD       ,B ,Q,14.97,14.97,13.68,14.33,13.68,14.97,5,21,313,
543186,11DPD       ,B ,Q,2.25,2.25,1.95,2.09,2.23,2.14,4,13,28,
543187,POWERINDIA  ,A ,Q,3798.1,3926.95,3788.05,3903.8,3907,3814.55,327,1100,4252099,
543193,DJML        ,B ,Q,144.5,174.8,144.2,174.8,174.8,145.7,219,6762,1162836,
543207,NATURAL     ,XT,Q,6.55,6.55,6.23,6.23,6.23,6.55,45,12845,80338,
543208,REGIS       ,XT,Q,65.1,68.35,65.1,68.35,68.35,65.1,3,100,6813,
543210,AARTISURF   ,B ,Q,649.45,651,635.2,640,643.25,648.75,427,2412,1543780,
543211,BONLON      ,B ,Q,35,35,32.05,32.05,32.05,33.73,29,14658,471185,
543212,BOROLTD     ,A ,Q,405,405,396.65,402.95,403.8,397.9,230,1771,709714,
543213,ROSSARI     ,A ,Q,713,746.95,706.1,731.85,731.85,709.2,897,10435,7616913,
543214,NDRAUTO     ,B ,Q,597,599.3,588.05,596,595,592.65,175,1446,861058,
543215,EBBETF0425  ,F ,Q,1124,1129.99,1124,1126.7,1126.7,1128.87,30,652,734510,
